received_at,from_addr,subject,size_kb,unread
2025-05-09T15:11:00Z,no-reply@shop.example,"Standup notes, 14 May",113,false
2025-05-09T08:48:00Z,team@work.example,"Re: invoice #2291, revised",2,false
2025-05-10T06:58:00Z,billing@acme.test,"Standup notes, 14 May",249,true
2025-05-11T08:38:00Z,billing@acme.test,Re: Re: lunch?,276,true
2025-05-11T08:39:00Z,billing@acme.test,"Renewal reminder, action needed",145,false
2025-05-11T15:32:00Z,billing@acme.test,"Renewal reminder, action needed",131,false
2025-05-12T17:59:00Z,team@work.example,"Standup notes, 14 May",202,true
2025-05-12T16:57:00Z,billing@acme.test,"Re: invoice #2291, revised",657,false
2025-05-12T07:28:00Z,digest@news.example,Your order has shipped,740,false
2025-05-12T20:00:00Z,digest@news.example,"She said ""ship it"" — so we did",145,false
2025-05-13T15:30:00Z,billing@acme.test,"Renewal reminder, action needed",258,false
2025-05-13T22:31:00Z,no-reply@shop.example,"She said ""ship it"" — so we did",191,false
2025-05-14T14:39:00Z,no-reply@shop.example,"Standup notes, 14 May",40,true
2025-05-15T10:08:00Z,team@work.example,Re: Re: lunch?,643,false
2025-05-15T21:53:00Z,billing@acme.test,Your order has shipped,23,false
2025-05-15T12:07:00Z,team@work.example,"Renewal reminder, action needed",755,false
2025-05-16T07:49:00Z,team@work.example,"Re: invoice #2291, revised",524,false
2025-05-17T18:03:00Z,no-reply@shop.example,"Renewal reminder, action needed",510,true
2025-05-18T20:01:00Z,team@work.example,Re: Re: lunch?,762,false
2025-05-18T18:31:00Z,no-reply@shop.example,Weekly digest,827,false
2025-05-18T08:20:00Z,digest@news.example,"Standup notes, 14 May",107,false
2025-05-18T20:55:00Z,no-reply@shop.example,"Standup notes, 14 May",249,true
2025-05-18T15:21:00Z,billing@acme.test,"Renewal reminder, action needed",489,false
2025-05-19T07:05:00Z,team@work.example,"Renewal reminder, action needed",328,false
2025-05-19T09:08:00Z,no-reply@shop.example,"She said ""ship it"" — so we did",180,false
2025-05-19T07:13:00Z,no-reply@shop.example,"Re: invoice #2291, revised",722,false
2025-05-20T16:23:00Z,team@work.example,"Renewal reminder, action needed",676,false
2025-05-20T08:41:00Z,no-reply@shop.example,"Renewal reminder, action needed",268,true
2025-05-20T16:03:00Z,team@work.example,"Renewal reminder, action needed",626,false
2025-05-21T08:22:00Z,digest@news.example,"Re: invoice #2291, revised",628,false
2025-05-22T11:17:00Z,no-reply@shop.example,Re: Re: lunch?,155,false
2025-05-22T17:24:00Z,no-reply@shop.example,Weekly digest,390,false
2025-05-23T14:26:00Z,digest@news.example,"Re: invoice #2291, revised",306,false
2025-05-23T12:38:00Z,no-reply@shop.example,"Standup notes, 14 May",699,false
2025-05-23T22:54:00Z,no-reply@shop.example,Your order has shipped,474,false
2025-05-23T16:15:00Z,digest@news.example,Re: Re: lunch?,185,false
2025-05-25T19:45:00Z,no-reply@shop.example,"Re: invoice #2291, revised",383,false
2025-05-25T21:26:00Z,no-reply@shop.example,"Renewal reminder, action needed",173,true
2025-05-25T10:32:00Z,billing@acme.test,Re: Re: lunch?,552,false
2025-05-25T11:04:00Z,team@work.example,Your order has shipped,360,false
2025-05-26T16:33:00Z,digest@news.example,"Renewal reminder, action needed",330,false
2025-05-28T20:16:00Z,team@work.example,Re: Re: lunch?,731,true
2025-05-28T13:03:00Z,no-reply@shop.example,"She said ""ship it"" — so we did",394,false
2025-05-29T13:42:00Z,billing@acme.test,Weekly digest,16,true
2025-05-29T18:55:00Z,team@work.example,Your order has shipped,518,true
2025-05-29T07:55:00Z,digest@news.example,Your order has shipped,572,false
2025-05-29T13:16:00Z,digest@news.example,"Standup notes, 14 May",430,false
2025-05-30T14:49:00Z,digest@news.example,"She said ""ship it"" — so we did",663,false
2025-05-30T14:12:00Z,digest@news.example,"Re: invoice #2291, revised",290,false
2025-05-30T18:19:00Z,no-reply@shop.example,"Re: invoice #2291, revised",788,false
2025-05-30T13:23:00Z,team@work.example,Re: Re: lunch?,422,true
